Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","1u","C_0805_2012Metric",148.452593,-77.858404,180.000000,bottom
"C2","22p","C_0805_2012Metric",163.652593,-88.258404,0.000000,bottom
"C3","22p","C_0805_2012Metric",163.652593,-85.658404,0.000000,bottom
"C4","0.1u","C_0805_2012Metric",159.452593,-82.858404,0.000000,bottom
"C6","0.1u","C_0805_2012Metric",139.252593,-91.058404,90.000000,bottom
"C7","0.1u","C_0805_2012Metric",153.452593,-94.858404,0.000000,bottom
"C8","10u","C_0805_2012Metric",139.652593,-79.058404,180.000000,bottom
"D1","1N4148W","D_SOD-123",47.748992,-33.759108,245.000000,bottom
"D2","1N4148W","D_SOD-123",70.251567,-30.460008,245.000000,bottom
"D3","1N4148W","D_SOD-123",89.584504,-33.958216,245.000000,bottom
"D4","1N4148W","D_SOD-123",104.691260,-46.519500,245.000000,bottom
"D5","1N4148W","D_SOD-123",120.854561,-56.815018,245.000000,bottom
"D6","1N4148W","D_SOD-123",155.891362,-63.788219,295.000000,bottom
"D7","1N4148W","D_SOD-123",172.054662,-53.492701,295.000000,bottom
"D8","1N4148W","D_SOD-123",187.161418,-40.931416,295.000000,bottom
"D9","1N4148W","D_SOD-123",206.494356,-37.433208,295.000000,bottom
"D10","1N4148W","D_SOD-123",228.996931,-40.732309,295.000000,bottom
"D11","1N4148W","D_SOD-123",39.719244,-50.978955,245.000000,bottom
"D12","1N4148W","D_SOD-123",62.221819,-47.679855,245.000000,bottom
"D13","1N4148W","D_SOD-123",81.554757,-51.178063,245.000000,bottom
"D14","1N4148W","D_SOD-123",96.661513,-63.739347,245.000000,bottom
"D15","1N4148W","D_SOD-123",112.824814,-74.034865,245.000000,bottom
"D16","1N4148W","D_SOD-123",163.921109,-81.008065,295.000000,bottom
"D17","1N4148W","D_SOD-123",180.084409,-70.712548,295.000000,bottom
"D18","1N4148W","D_SOD-123",194.852593,-58.058404,295.000000,bottom
"D19","1N4148W","D_SOD-123",214.524103,-54.653055,295.000000,bottom
"D20","1N4148W","D_SOD-123",237.026678,-57.952155,295.000000,bottom
"D21","1N4148W","D_SOD-123",31.689497,-68.198802,245.000000,bottom
"D22","1N4148W","D_SOD-123",54.192072,-64.899702,245.000000,bottom
"D23","1N4148W","D_SOD-123",73.525010,-68.397910,245.000000,bottom
"D24","1N4148W","D_SOD-123",88.631766,-80.959196,245.000000,bottom
"D25","1N4148W","D_SOD-123",104.795069,-91.254712,245.000000,bottom
"D26","1N4148W","D_SOD-123",171.950854,-98.227912,295.000000,bottom
"D27","1N4148W","D_SOD-123",188.114156,-87.932397,295.000000,bottom
"D28","1N4148W","D_SOD-123",203.220912,-75.371110,295.000000,bottom
"D29","1N4148W","D_SOD-123",222.553850,-71.872902,295.000000,bottom
"D30","1N4148W","D_SOD-123",251.812593,-82.128404,25.000000,bottom
"D31","1N4148W","D_SOD-123",46.162325,-82.119549,245.000000,bottom
"D32","1N4148W","D_SOD-123",65.495263,-85.617757,245.000000,bottom
"D33","1N4148W","D_SOD-123",74.262746,-111.773660,245.000000,bottom
"D34","1N4148W","D_SOD-123",93.168315,-121.028254,235.000000,bottom
"D35","1N4148W","D_SOD-123",110.179619,-133.425169,225.000000,bottom
"D36","1N4148W","D_SOD-123",175.312593,-151.728404,315.000000,bottom
"D37","1N4148W","D_SOD-123",185.015679,-130.492264,305.000000,bottom
"D38","1N4148W","D_SOD-123",202.483176,-118.746860,295.000000,bottom
"D39","1N4148W","D_SOD-123",211.250660,-92.590957,295.000000,bottom
"D40","1N4148W","D_SOD-123",230.583597,-89.092749,295.000000,bottom
"D81","1N4148W","D_SOD-123",123.452593,-122.858404,90.000000,bottom
"D82","1N4148W","D_SOD-123",167.652593,-122.858404,90.000000,bottom
"D83","ws2812b","WS2812B",121.442593,-49.288404,335.000000,bottom
"D84","ws2812b","WS2812B",64.802593,-34.668404,335.000000,bottom
"D85","ws2812b","WS2812B",50.262593,-74.998404,155.000000,bottom
"D86","ws2812b","WS2812B",94.322593,-114.578404,150.000000,bottom
"D87","ws2812b","WS2812B",125.002593,-142.748404,180.000000,bottom
"D88","ws2812b","WS2812B",165.992593,-142.718404,180.000000,bottom
"D89","ws2812b","WS2812B",197.802593,-115.338404,210.000000,bottom
"D90","ws2812b","WS2812B",244.322593,-75.498404,25.000000,bottom
"D91","ws2812b","WS2812B",226.712593,-35.928404,25.000000,bottom
"D92","ws2812b","WS2812B",169.692593,-48.658404,25.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",141.452593,-70.658404,90.000000,bottom
"R1","10k","R_0805_2012Metric",142.252593,-94.858404,0.000000,bottom
"R2","22","R_0805_2012Metric",144.452593,-73.458404,90.000000,bottom
"R3","22","R_0805_2012Metric",147.252593,-73.458404,270.000000,bottom
"R4","10k","R_0805_2012Metric",161.852593,-151.058404,90.000000,bottom
"R5","5.1k","R_0805_2012Metric",150.052593,-64.858404,0.000000,bottom
"R6","5.1k","R_0805_2012Metric",141.652593,-64.858404,180.000000,bottom
"SW41","SW_Push","SKQG-1155865",168.052593,-151.058404,0.000000,bottom
"U1","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",147.852593,-86.858404,270.000000,bottom
"U2","PRTR5V0U2X","SOT143B",145.852593,-67.858404,180.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",145.852593,-51.908404,0.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",159.902593,-87.008404,90.000000,bottom
